source_index,word,category,meaning
14621,humnoo&finxaaleyyii&amaara,暴力恐怖,阿姆哈拉武装力量，指参与镇压的军事团体
14622,alagaan&diina,宗教,异教徒是敌人
14623,bilisummaa oromootti,涉政,奥罗莫解放（分裂主义口号）
14624,qawwee&dhagaa,暴力恐怖,枪和石头（指使用武器和石块进行暴力）
14625,walabummaa oromiyaa&bilisummaan sabni,涉政,奥罗米亚自由和人民解放，煽动地区独立
14626,diina&oromummaa,涉敏,奥罗莫民族身份的敌人
14636,diina nu keessaa jiruu&haxofnee bassuu,暴力恐怖,清除内部敌人
14642,amaraa&shira xaxanii,涉敏,阿姆哈拉人策划阴谋
14644,juuntaa&daaraa,涉敏,对特定群体的侮辱性称呼，意为'肮脏的Juuntaa'
14644,hiyyummaa&gadadoo,涉敏,意为'贫穷和低贱'，用于贬低群体
14645,tuffii&oromoof,涉敏,对奥罗莫人的侮辱性词汇（意为向奥罗莫人吐唾沫）
14648,oromummaa&balleessuu,暴力恐怖,消灭奥罗莫族，暗示种族灭绝意图
14648,oromummaa&yaa&bararru,涉政,让奥罗莫族燃烧，煽动暴力反抗
14651,ilman&amaraa,涉敏,对阿姆哈拉人的贬称，暗示其犯罪
14651,yakka&goggoogaa,涉敏,宣扬虚假的严重罪行指控
14653,liyyuu hayliin amaraa&abbaa garaa,涉敏,阿姆哈拉武装力量联合其他人
14656,hareen&haada&kutte,涉敏,狗咬母亲，侮辱性比喻，用于贬低奥罗莫人
14658,fashistoonni&amaraa,涉敏,对阿姆哈拉族群的恶意标签，意为'阿姆哈拉法西斯分子'
14667,奥罗莫解放军&oromo liberation army,暴力恐怖,奥罗莫解放军，一个寻求奥罗莫人自决的武装分离主义组织。
14676,oromiyaa fi oromoof hin abbummaa & qilee ha buutuu,涉敏,奥罗莫和奥罗米亚不应有主权，让他们永远被压迫
14677,wbo deeggartu,涉政,WBO支持者
14684,fano&dhumatii fi salphina,暴力恐怖,Fano组织及‘死亡和羞辱’的煽动性表述，呼吁暴力对抗
14686,oromoof oromiyaa&mogolee buusi,涉政,解放奥罗莫地区
14687,cancer&ummata&oromooti,涉敏,奥罗莫人民的癌症（对Oromo族群内政治组织的侮辱性比喻）
14689,fannisaan&sana&ture,暴力恐怖,对某人实施绞刑的暴力威胁
14690,abiyis&salphoodha,涉政,阿比是侮辱（指称埃塞俄比亚总理侮辱他人）
14690,harree,涉敏,驴（用作侮辱性称呼）
14692,yakkii namoomaa&duguggaa sanyii&oromoo,涉敏,奥罗莫族的种族罪行与暴行
14695,diina walakkaa taa'ee & diina hedduu ofirraa ittisee,涉敏,宗教敌人和众多敌人，指代特定宗教群体的敌对关系
14695,humna naannoo ofirraa ittifna,暴力恐怖,自卫武装力量，暗示组织武装抵抗
14696,abo-wbo&qeerroo bilisummaa oromoo,涉政,奥罗莫解放阵线/解放军和奥罗莫自由青年（分离主义组织）
14697,qeerroon&rasaasa&waraana&ppn&ajjeefaman,暴力恐怖,Qeerroo被PP子弹杀害的暴力事件
14702,diina&guba&oromoo,暴力恐怖,燃烧奥罗莫人的宗教，煽动对奥罗莫人的暴力
14704,humna qawweetiin buqqisuun & biyya oromoo dhuunfate,暴力恐怖,武力推翻占领Oromo土地
14712,ilma oromoo&ajjeesan gubuu,暴力恐怖,奥罗莫儿子被杀害并焚烧
14712,shiftoota abiy,涉政,阿比的土匪/暴徒
14712,aadaa waraana biyya,价值观,国家的战争文化
14713,cabsinee&diina&biyyaa&baasun,暴力恐怖,打破并驱逐敌人
14716,ajjeesani&gubun,暴力恐怖,杀戮和焚烧
14717,oromo&liberation&army,涉政,奥罗莫解放军，一个主张分离的武装组织
14723,oromoo&fixuu,涉敏,消灭Oromo人
14724,waraana&cinaa&dhaabbadha,暴力恐怖,号召参与武装战争
14727,yakkamtoota mataan duude raasaniiru,暴力恐怖,罪犯被枪杀，暗示暴力处决
14729,waraana bilisummaa oromoo,暴力恐怖,奥罗莫解放军
14731,waraana bilisummaa&oromo liberation army,暴力恐怖,奥罗莫解放军及其发起的自由战争
14734,ajjeesisaa&cabsa,暴力恐怖,杀人犯和摧毁，指煽动暴力报复和破坏行为
14736,poolisiin humna addaa oromiyaa & ilmaan oromoo ajjeessaa,涉政,指控奥罗莫地区警察无差别杀害奥罗莫人，类似阿姆哈拉武装，构成反人类罪
14738,wbo&waraana bilisummaa,暴力恐怖,奥罗莫解放阵线及其解放战争宣传
14742,shiftaa amaraa&jumlaan rashanee,涉敏,阿姆哈拉叛军随意杀害
14743,oromoo fi amaraa waldhabdee,涉敏,煽动奥罗莫人与阿姆哈拉人之间的冲突
14744,oromon&makmaake,涉敏,对奥罗莫民族的侮辱性称呼
14746,qabsoo bilisummaa oromoo&leencaa&daandiirraa maqsaa,涉政,奥罗莫解放斗争、狮子（象征战斗者）、从道路上清除（消灭反对者）
14746,qeeqaa adabaa fi daandiirraa maqsaa,暴力恐怖,谴责、惩罚并从道路上清除（暴力威胁和消灭对手）
14752,hidhaa hamaa&ilmaan oromoo waliif haa dirmanu,涉政,呼吁对抗邪恶监狱，让奥罗莫人团结起来
14759,weerartoonni&nafxanyaa&dachee&arsii&harkaa&fi&harma&muraa&aanolee&diina,涉敏,针对特定族群的攻击性代称和煽动驱逐的口号
14763,oromoo&ajjeesuu&hidhuu&qbo,暴力恐怖,杀害和绑架奥罗莫人
14763,waraana&garboonfataa&du'a,暴力恐怖,战争和死亡
14763,network&kutuun,违法,切断网络
14765,ol ajjeesuu fi 26 ol madeessuu,暴力恐怖,杀死和伤害，具体数字煽动暴力
14767,tufatuu,涉敏,吐痰者（对奥罗莫人的侮辱性称呼）
14771,奥罗莫解放战争&报仇,暴力恐怖,奥罗莫解放战争和报复行动
14772,oromoo & dhiisii sareen hin hidhamu,涉敏,对奥罗莫民族的侮辱性比喻，暗示其被像狗一样对待
14776,farra farra caalu,涉敏,比敌人更坏（极端敌视特定族群）
14776,ajjeesufi dhaadati,暴力恐怖,杀死并宣扬（煽动暴力杀戮）
14779,ajjeesee&reeffa&gubu,暴力恐怖,杀人并焚烧尸体
14783,ato&mararaa,涉敏,对埃塞俄比亚总理的侮辱性称呼，意为“扰乱者先生”
14783,tuffii&ilmaan&habashaa,涉敏,“吐痰在埃塞俄比亚人身上”，种族侮辱表达
14786,weerara mootummaan,涉政,攻击政府
14786,duula bobbaafamee,暴力恐怖,发动战争
14789,wabo&waraana ummata oromoo,暴力恐怖,奥罗莫武装组织与奥罗莫民族战争，煽动暴力对抗
14796,abiy puutiin&warra farra dhala nama,涉政,将阿比·普丁称为人类的敌人，具有侮辱性和煽动性
14800,qacce-fixiinsa&dhala-namaa,暴力恐怖,种族灭绝
14800,siidaa&cubbuu,涉敏,邪恶的叙述（指代压迫体系）
14800,injifannoon&kanummata&cunqurfamaati,价值观,胜利属于被压迫人民（煽动性口号）
14802,adawaan&jabaa seenaa deebise,暴力恐怖,对敌人进行强力历史复仇的煽动
14810,minilik&kalessas&diina&oroomooti,暴力恐怖,呼吁消灭奥罗莫民族，煽动暴力
14810,qubee generation,涉政,奥罗莫民族主义激进组织，可能煽动分裂
14811,amaraa&ajjeessa,涉敏,阿姆哈拉人杀害奥罗莫人
14813,ajjeesa&nyaata,暴力恐怖,杀人和吃人
14814,oromo&qositanu,涉敏,对奥罗莫族的侮辱性嘲笑
14815,habashaa&dheedhii,涉敏,对埃塞俄比亚人的种族侮辱，意指愚蠢迟钝
14816,oromoo&firaaf&diina&adda&baasi,暴力恐怖,将Oromo的兄弟和敌人分离（煽动种族对立）
14816,abidda&qabsiisun,暴力恐怖,放火（暴力行为）
14818,gootichi waraana bilisummaa oromoo zoonii kibbaa cibraa soddom booroo,暴力恐怖,奥罗莫解放阵线南部地区三十博拉勇士武装组织
14820,wbo&haleeluudhaan&buqqosee,暴力恐怖,WBO组织通过攻击完全摧毁某地，宣传暴力行动
14822,战斗&解决方案,暴力恐怖,以暴力作为解决民族问题的最终手段，煽动暴力行动
14825,saree qalbii hinqabnne birraa birraa gabatti,涉敏,对阿姆哈拉人的侮辱性称呼，意为'没有心的狗，蠢笨的加巴蒂'
14828,baga afaan warabessatii&ka oromoo taate,涉敏,对奥罗莫身份的无耻否定和亵渎侮辱
14831,waraana bilisummaa oromoo&qabsoo haaraa,暴力恐怖,奥罗莫自由战争和新斗争策略，指奥罗莫分离主义武装斗争
14835,oromummaa&dhabamsiisuu,涉敏,清除奥罗莫族，煽动种族清洗
14835,adaanech&abebee&abaaran,涉敏,对 Adaanech Abebee 的辱骂行为
14837,oromo&dirqama,暴力恐怖,奥罗莫人的强制动员或义务行动
14839,diina oromoodha,涉敏,奥罗莫的敌人
14840,tokkummaa oromoo diiguuf&diina uummata oromoo,涉政,破坏奥罗莫团结和对奥罗莫人民的敌人
14844,qawwee fala&sirna ofirra jiksuun,暴力恐怖,武装斗争和推翻压迫制度
14845,ummanni amaaraa&reebaa tumaa ajjeesaa,涉敏,阿姆哈拉人实施殴打屠杀行为
14846,boombii,暴力恐怖,炸弹
14848,buufaa&gowwaa harmee too,涉敏,傻瓜和傻瓜母亲，侮辱性称呼
14859,waraana bilisummaa oromoo,涉政,奥罗莫解放军
14863,nafxanyaa,涉敏,对阿姆哈拉人的贬称，带有种族歧视意味
14864,humna diina jijjigsee lolaa,暴力恐怖,消灭敌人力量的暴力煽动性表述
14866,ajjeestetu&rashanan,暴力恐怖,杀人和射击，指代暴力行为
14867,wbo&pp&lola guddaa,暴力恐怖,WBO与PP的大规模战斗，涉及恐怖活动
14868,humna mootuma&ajeessan,涉政,政府力量杀害
14870,wbo&abo,暴力恐怖,奥罗莫地区的武装组织缩写，煽动参与武装斗争
14870,qabsoo itichee,暴力恐怖,战斗继续，鼓励持续暴力行为
14872,waraana bilisummaa oromootti,涉政,奥罗莫解放战争
14876,sniper&waraana,暴力恐怖,使用狙击手进行战争
14877,weerartuu&reeffa&tuule,暴力恐怖,入侵者尸体堆
14882,lubbuu&oromoo&barbaaddi,暴力恐怖,想要奥罗莫人的生命，煽动暴力
14883,warana bilisumma oromoo & rakkoo motummoota shiftaa,暴力恐怖,奥罗莫解放战争和强盗政权问题，指煽动武装颠覆的极端言论
14888,组织奥罗莫人&变为力量&向敌人开枪,暴力恐怖,煽动奥罗莫人武装起来对敌人进行射击
14894,diinni rukutuun barbaachisaadha&ajjeechaa nama irratti raawwatu,暴力恐怖,必须打击敌人和杀人
14896,waraana haaraa&oromo liberation army,暴力恐怖,新战争和奥罗莫解放军（武装组织）
14898,doofaa&hattuu,价值观,愚蠢的小偷，侮辱性词汇
14900,dhiiga fi lafee nyaachaa&ofirra diiguu,暴力恐怖,吸血吃骨；互相毁灭，煽动种族灭绝暴力
14901,sakaaltuu&sakaalamtuu,涉敏,对女性的侮辱性称呼，意为丑女人/丑男人
14905,waraana bilisummaa oromoo&lola gaggeessaa,暴力恐怖,奥罗莫解放战争；进行战斗
14906,qomoo koo & biyyeen siif haa salphattu,涉敏,我的族群，愿国家蒙羞（表达民族仇恨和诅咒国家）
14912,kaabinoonni&amaaraa waliin&oromoo,涉敏,当局与阿姆哈拉人合作迫害奥罗莫人
14914,waraana bilisummaa oromoo,暴力恐怖,奥罗莫自由战争（暗示武装斗争）
14914,wbon,涉政,疑似奥罗莫分离主义组织
14917,gaachana ummataa,涉政,人民的盾牌，象征抵抗组织
14919,wbo&敌人毒药,涉政,WBO组织及煽动性口号，可能煽动分裂
14920,杀死&心虚的人,暴力恐怖,指对特定人群施加暴力攻击
14921,oromoliberationarmy,暴力恐怖,奥罗莫解放军（武装分裂组织）
14922,faannoo amaaraa&diina 10 biyyeen,涉敏,阿姆哈拉旗帜和十个国家敌人，煽动对阿姆哈拉人的仇恨与暴力
14926,faashistiin&humna waraana,涉政,法西斯军事力量，用于攻击国家武装部队
14928,waraana&bilisummaa oromoo,涉政,战争与奥罗莫自由，煽动分离主义
14929,waraana har'aa&kaaba oromiyyaa,暴力恐怖,今天的战争 北部奥罗米亚，煽动地区暴力
14932,bilisummaa fi walabummaa,涉政,煽动自由独立，威胁国家安全
14935,waraana&haaraa,暴力恐怖,新战争
14938,nafxanyaa&qaanii,涉敏,将阿姆哈拉语视为耻辱的民族歧视用语
14941,qabsoo duulaa&waal haa kaasnu,暴力恐怖,煽动武装斗争和起义
14941,seenaa abbaa keenyaa&debisu,涉政,破坏祖先历史或民族根基
14942,waraana_bilisumma_oromooti,涉政,奥罗莫解放战争
14944,biyya isa diina harka baafachu&walitti dhufuu,涉政,从敌人手中解放国家并团结起来
14947,shanee&balleessuuf,暴力恐怖,消灭Shanee（可能指个人或群体）
14948,opdo,涉政,奥罗莫人民民主组织，一个埃塞俄比亚政治团体
14948,xawalwaallota,涉政,背叛者/卖国贼，用于贬低特定群体
14951,nafxanya,涉敏,对特定民族的侮辱性称呼
14954,farra oromooti,涉敏,奥罗莫人的敌人
14958,ijoollee xixiqqoo ajjeessaa,暴力恐怖,杀害小孩
14958,diina ajjeeftanii du'uu,暴力恐怖,杀死敌人并死亡
14960,diina&oromoo,涉敏,奥罗莫人的敌人，暗示对特定民族的敌视
14964,qabdii&nuti&osoo&dhiignuu&osoo&duunuu&summii&booree,暴力恐怖,对敌人使用暴力、杀戮和吸血威胁
14964,taakkuun&takka&kanarraa&citee&nagaan&dhuftuu&hin&jiruu,暴力恐怖,无人能安全逃脱，斩尽杀绝
14965,waraana bilisummaa oromoo,暴力恐怖,奥罗莫解放战争
14967,diina&harka&dhiigaa&biyyetti&galchaa,暴力恐怖,让敌人流血在地（煽动暴力）
14969,waraana&diina,暴力恐怖,战争与敌人
14971,saba&gantuu,涉敏,将民族群体比作蝗虫的贬低性词组
14975,oromia&bilisummaa&diina&buqqifna,涉政,主张奥罗米亚独立并推翻敌人，涉及分裂主义
14976,oromogenocide&waraana bilisummaa oromoo,涉政,奥罗莫种族灭绝&奥罗莫解放战争
14977,abo&diiguu,暴力恐怖,煽动杀害ABO组织或人物
14978,lolee&lolchiisu,暴力恐怖,煽动战争
14983,qawwee kaase,暴力恐怖,拿起枪，煽动武装行动
14983,bobbaa diina,涉政,赶走敌人，煽动对抗
14983,rasasaa,暴力恐怖,子弹，用于暴力行为
14997,wbo force&diina dhabmsiisanii du'uuf gurmaa'uutu,暴力恐怖,WBO武装力量及组织赴死以被敌人杀害的表述
14998,waraana guddaa,暴力恐怖,大战/伟大的战争
15004,kfo&hidhannoo adeemsisaa,涉政,KFO及被捕组织相关的抵制活动
15008,wbo&du’a saree duutani,暴力恐怖,组织名称和'像狗一样死'，煽动加入并实施暴力
15010,saree&alagaatitu,涉敏,外国狗，对特定民族或国籍的侮辱性称呼
15010,ajjeefte&biyya&keetii,暴力恐怖,杀死你的国家，煽动暴力行为
15011,oromoota&amhara&dhumaniidha&falmachuun,涉敏,声称Oromo人被Amhara杀害并呼吁战斗的煽动性词组
15012,奥罗莫解放&斗争,涉政,主张奥罗莫地区独立的政治诉求
15012,血与骨&解放,暴力恐怖,暗示通过流血牺牲实现解放的暴力表述
15015,faannoon&amahara&qaanidha,涉敏,阿姆哈拉旗帜是耻辱
15025,gara qabsoo & diina,暴力恐怖,回到正义斗争与敌人，煽动暴力反抗
15028,奥罗米亚民兵&攻击敌人,暴力恐怖,提及武装民兵并呼吁攻击政治对手或民族敌人
15038,foon&nyaachaa&ajjeefamani,暴力恐怖,吃你的肉被杀害
15039,jaarra abbaa gadda baaroo tumsaa&hin ajjeefne,涉政,关于政治人物Jaarra未实施暗杀的虚假声明
15040,hidhannoo fudhachuu & wbo-ola makamuu,暴力恐怖,拿起武器加入WBO-OLA组织
15040,republic of oromia ijaaruu,涉政,建立奥罗米亚共和国
15042,wbo-ola&加入,涉政,WBO-OLA可能指奥罗莫武装组织，号召加入煽动分裂
15042,du'a saree,暴力恐怖,奥罗莫语‘狗死’，煽动暴力死亡
15044,diina&afaan&oromoo,涉敏,敌视奥罗莫语的人，指代语言敌对者
15045,oromoo&fixuun,暴力恐怖,消灭奥罗莫人
15045,nafxanyoonni&olaantummaa,涉敏,Nafxanyoonni群体取得优势地位
15045,abiy&eritrea,涉政,指责艾比与厄立特里亚勾结
15053,diina&garba&tumee obbaase,暴力恐怖,将敌人当作奴隶并击打抛弃，煽动暴力行为
15058,qawwe&bitna&qalaa,暴力恐怖,买枪杀人
15058,oromoon&gurmuun&mo'aa,涉政,奥罗莫人团结胜利（分裂性口号）
15061,oromo diina,涉敏,奥罗莫民族的敌人
15066,opdo&diina keenya,涉政,OPDO是我们的敌人
15067,diina ummata amaaraa,涉敏,阿姆哈拉人民的敌人
15076,moottumaa&itti gafatama,涉政,推翻政府
15076,waraana addaa bilisumaa,暴力恐怖,解放战争
15080,waraana bilisummaa oromoo&ajjeechaa,涉敏,奥罗莫解放战争与杀戮
15083,fixaleyii&lola,暴力恐怖,消灭战争，煽动族群暴力冲突
15084,waraana bilisummaa oromoo & guyyaa yadannoo,涉政,奥罗莫解放军和Yadannoo纪念日，涉及支持分离主义武装的纪念活动
15090,tuffii fi arrabsoodhan & hordoftoota amantichaa,涉敏,对宗教追随者的嘲笑和辱骂
15091,ola/wbo&新战士&执行任务,暴力恐怖,奥罗莫解放军/武装组织及其新战士准备执行武装任务
15103,amaan & ajjeefamaa,涉敏,阿姆哈拉人被杀害
15106,meqabir&inditihon hasab,涉敏,坟墓和不敬思想，用于侮辱宗教信仰
15107,adabbii cimaa&diina,暴力恐怖,严厉惩罚敌人
15110,oromiyaa&diiguu&oromoo&balleessuu,涉政,破坏Oromia和消灭Oromo人，可能指代政府或敌对势力的行为，煽动对立
15110,diinota&adabuuf,暴力恐怖,惩罚敌人，暗示使用暴力手段
15111,doofaa kotte duudaadha,涉敏,牛粪便，对阿姆哈拉民族的侮辱性称呼
15111,ajjeesanirraa & dhoksuu,暴力恐怖,杀害并隐藏受害者
15114,tortoraa afaankee chufii taa’ii&diildhuu,涉敏,奥罗莫语中侮辱性命令，意为'让你闭嘴'或'滚开'
15115,waraana&gabrummaa&ofirraa hin qolattu,暴力恐怖,战争、奴役、不保护自己，煽动暴力反抗
15116,diina&harqalloo,暴力恐怖,针对Harqalloo群体的敌对煽动
15118,waraana bilisummaa oromoo&sakattaa daandii konkolaataa,涉政,奥罗莫解放阵线设置路障
15120,garee juntaa,涉政,军政府集团
15122,qabsoo&bilisummaaf,涉政,自由斗争
15122,wbo,涉政,疑似分裂组织缩写
15123,oromo&qalchisaa,暴力恐怖,杀害奥罗莫人
15125,rasaasa&wallale,暴力恐怖,子弹与战斗，煽动暴力
15127,oromoo&salphina,涉敏,奥罗莫人&羞辱，指对奥罗莫民族的贬低
15132,qulqulleessuun&diina,暴力恐怖,清除敌人
15137,wallaalee&jaanjaa,暴力恐怖,粉碎瓦拉莱（可能指武装组织或地区）
15139,ajjeesaa&saamaa,暴力恐怖,杀死和消灭
15139,oromoo&dammaqi,涉敏,奥罗莫人觉醒（煽动民族主义）
15140,saree&haadha,低俗色情,母狗（侮辱性称呼）
15142,tortoraa,价值观,奥罗莫语中对人的侮辱性称呼，相当于‘混蛋’
15143,shaneedhaa&oromo,涉敏,用'狗'贬低整个奥罗莫民族
15144,nafxanyaan & diina kee barii qophii,暴力恐怖,对敌人（Nafxanyaan群体）做好战斗准备
15147,diina nafxanyaa,暴力恐怖,纳夫卡尼亚敌人，指代特定群体并煽动对其暴力
15147,mataan irraa cituu,暴力恐怖,砍头，直接描述暴力行为
15153,qabsoo&oromoo,涉政,奥罗莫斗争（指奥罗莫民族争取权利和自治的斗争）
15160,waraana&abiyyi ahmed&daaraa godhuu,暴力恐怖,对阿比·艾哈迈德发动战争或制造混乱
15167,burjajjooftu&burjajjeesituu,涉政,压迫者和剥削者，对政治对手的侮辱性称呼
15171,gadi fuudhee tumuu,暴力恐怖,打倒并殴打
15174,建立自由奥罗米亚,涉政,主张奥罗米亚地区独立或自治，可能涉及分裂国家
15174,被刺&被推翻&消灭敌人,暴力恐怖,描述并鼓励暴力行为
15182,wbo&uummata oromoo,涉敏,WBO组织与奥罗莫人
15191,ggo&general elemoo qilxuu,涉政,GGO可能是一个奥罗莫武装组织，Elemoo Qilxuu将军是其领导人
15191,gabruummaa,涉敏,可能指代特定族群或敌对势力，使用负面表述
15199,umuriin&kan gaheef,涉政,寿命已到，暗示政府应该结束
15205,buqifnee&balleesuu,暴力恐怖,挖根并毁灭，煽动暴力毁灭的表述
15208,waraana cimaa,暴力恐怖,激烈的战争/强战
15210,maqaa balleessuu&summii biifa,涉政,名誉破坏和放毒（指控WBO进行诽谤和毒害）
15210,biyyaa hambaa,涉政,残余的国家（暗示分裂）
15213,diina&fixa,暴力恐怖,消灭敌人
15220,dawwee baateef&dirmachuun,涉政,人民觉醒并站起来行动，暗示动员推翻政权
15226,nyaapha & qolata,涉敏,比喻对手是隐藏的蛇，带有侮辱性
15226,impaayera & bututtuu,涉敏,侮辱对手是醉酒的帝国主义者
15226,du'a & seenaa hin qabne,暴力恐怖,不惜牺牲的死亡，煽动暴力
15226,abidda & lama,暴力恐怖,两团火，暗示对抗和暴力处境
15231,aggaammii sanyii oromoo hundaa&tokkummaan ka'ee of'irra qolachuu,暴力恐怖,对所有奥罗莫种族的灭绝以及团结起来自我保护
15232,qawwee&tolfannu&bitannu,暴力恐怖,制造和购买武器
15233,lolatu&diina qolachaa,暴力恐怖,战斗和捕获敌人，煽动暴力冲突
15237,warra amaaraa & bo'aa,涉敏,对阿姆哈拉人的贬低性吹嘘描述
15238,addaa bixiginnaa & oromiyaa,涉敏,奥罗米亚特殊力量（可能指分裂武装）
15238,ilmi oromoo & mooraa diina,涉政,奥罗莫的儿子们/敌人营地（煽动性口号）
15240,waraana&labsite,暴力恐怖,宣布战争或发起武装冲突
15240,waraanicha&guutuu&irratti&labsitee,暴力恐怖,对整个群体宣布战争
15243,wbo&force,暴力恐怖,支持WBO（疑为分裂组织）的武力行动
15245,gantuu&nama&nyaatii,涉敏,愚蠢的吃人者（对特定群体的侮辱性称呼）
15245,ajjeestee,暴力恐怖,杀死（直接描述暴力行为）
15248,hidhanii achi buutee dhabamsiisanii&kokkee diinaa qabaa,暴力恐怖,绑起来消除，抓住敌人脖子
15250,lolee&lolchiisaa,暴力恐怖,煽动战斗
15252,waraaqa&biyya ijarachuu,涉政,通过战争建设自己的国家（暗示分裂独立）
15252,fincilaa&diida&waraaqa,暴力恐怖,抗争与战斗（煽动暴力）
15255,shame%on%you,价值观,对某人或群体进行羞辱的攻击性话语
15256,diina&keenya&nafxanyaa,暴力恐怖,我们的敌人纳粹（指代特定族群或政治对手的贬称）
15257,400 ol ajjeesee,暴力恐怖,杀害超过400人
15259,leencichi&diina&saba&oromoo&waraana&tolchaa,暴力恐怖,狮子是奥罗莫民族的敌人，策划战争
15263,waraana oromoo&diina shororkeessu,暴力恐怖,奥罗莫战争力量与敌人破坏行动
15266,kufaa&nafxanyaaa,暴力恐怖,诅咒外国人去死
15268,saba & saree,涉敏,将奥罗莫民族比作训练过的狗
15271,向敌人战斗&diinota keenyatti duuluu,暴力恐怖,呼吁以任何形式对抗敌人，可能包含暴力手段
15272,waraana bilisummaa oromoo,暴力恐怖,奥罗莫解放战争
15273,ajjeesuu&adabee,暴力恐怖,杀和惩罚
15274,shiftaa&abiy ahimed&ajjeestuu,暴力恐怖,叛徒阿比·艾哈迈德，杀死
15278,sanyii abaarsaa & gargar baaftan,涉敏,诅咒的种族与分离言论
15279,waraana&rasaasa&daaraa,暴力恐怖,战争、子弹、毁灭，煽动暴力攻击
15282,waraana bilisumma oromoo&lubbu bulle,暴力恐怖,奥罗莫解放战争及夺命（暴力煽动）
15282,wabi oromiyaa&waraana bilisumma oromoo,涉政,奥罗莫地区誓言和解放军队（分裂主义宣传）
15285,oromo liberation army,暴力恐怖,奥罗莫解放军，埃塞俄比亚的武装组织，被多国视为恐怖组织。
15287,oromo dhabamsiisuuti,暴力恐怖,消灭奥罗莫人，暗示种族灭绝
15287,walitti diina godhuu,涉敏,制造敌对，煽动民族仇恨
15289,dhaloota&qubee&ugguruun&gonkumaa&hindanda'amu,涉敏,指代某个特定民族/群体并宣称其永不被接受，构成民族歧视
15290,killa-man-jaaroo,暴力恐怖,杀人狂，暴力威胁
15293,monopoly&saba tokko,涉敏,指责某个民族垄断，包含民族歧视含义
15295,paasterii&habashaa&aarse,涉敏,对埃塞俄比亚人的侮辱性称呼
15301,faccisuun&dirqama,违法,必须曝光（指人肉搜索或公开羞辱）
15302,reeffa&kaafadhu,暴力恐怖,号召收集尸体，暗示暴力后果
15308,saree&kajeeltuu,涉敏,贪婪的狗，对奥罗莫人的侮辱性称呼
15311,nafxanyaan&quqquuqa,涉敏,对非奥罗莫人的侮辱性称呼和垃圾
15314,farraa sabootaa,涉敏,煽动种族仇恨
15315,gowwaa&muslima&amhaaraa,涉敏,愚蠢的穆斯林阿姆哈拉人
15316,musliimota & amaarrummaan amantiidha,宗教,穆斯林与阿姆哈拉基督徒（宗教冲突）
15317,du’a&labsaa,暴力恐怖,死亡宣言，可能表示死亡威胁
15320,gumaa & manneen gubu,暴力恐怖,暗示对特定群体的暴力报复和房屋焚烧行为
15321,sukaneessa&ajjeechaa,暴力恐怖,屠杀和杀戮
15321,hundeen buqqa'uu&saroota akkasii ofi keessaa basuun,涉政,根除并驱逐像狗一样的系统
15322,diroonii fi helekoopteraan ummata rukutuun,暴力恐怖,用大炮和直升机攻击人民，描述政府暴力镇压
15322,sirni abbaa irree abiyyi,涉政,指埃塞俄比亚总理阿比·艾哈迈德，常用于批评其政府暴力行为
15323,ajjeechaa&suukanneessaa,暴力恐怖,屠杀和性暴力
15324,qulwullaayan,暴力恐怖,清洗（指针对特定民族的暴力清除行动）
15335,waraanni bilisummaa oromoo&waraana&komaandoo,暴力恐怖,奥罗莫解放阵线武装战斗杀死敌人的描述，可能涉及恐怖活动
15335,waraanni bilisummaa oromoo&iddoo addaa molmolee,涉政,提及奥罗莫解放阵线的军事行动和特定地点，涉及分裂主义政治主张
15337,namattisirbiit&dubbiin kee fokkisaa&rabbi yoo jiraate bakkakaa sittihaabuusu&dhabama kee haa godhu,涉敏,你是个傻瓜，你的话语和脸很丑，如果真主存在把你扔进地狱，愿你消失
15338,wbo&uummaata oromoo,涉政,WBO组织与奥罗莫民族的联合，暗示政治动员和分裂倾向
15340,ilmaan&minilik,涉敏,孟尼利克的后代，指埃塞俄比亚皇帝孟尼利克二世的后裔，常被用作对阿姆哈拉民族的侮辱性称呼
15340,gantuu&argamtuu,涉敏,骗子与诅咒，组合为强烈的辱骂表达
15341,abbaa&harree,涉敏,驴的父亲，侮辱性称呼
15341,sammuu&gurguramee,涉敏,头脑被卖，暗示被收买或丧失独立思考
15343,firoomte&oromootti&abdii&ilee,涉政,询问加入奥罗莫民族并提及政治人物阿卜迪·伊莱的（负面）作为
15345,nafx,涉敏,对特定民族的侮辱性称呼
15346,duula&duguggaa&sanyii,暴力恐怖,种族灭绝战争
15346,saree&maratte,涉敏,狗（侮辱性称呼）
15355,bilisummaa oromootti&meeshaa kanaan,暴力恐怖,Oromo解放阵线和使用武器
15360,oromoo&fokkisaa&qananii,涉敏,对奥罗莫民族的侮辱性称呼和仇恨表述
15367,oromiyaa&freedom,涉政,奥罗米亚自由，暗示地区独立或分离运动
15368,du'aaf&madoon&adabuun,暴力恐怖,为死亡进行报复，煽动暴力复仇
15369,dhukaasa&dhabamsiisuu&diina,暴力恐怖,扇动用爆炸消灭敌人的暴力行为
15370,garboodha,涉敏,奴隶（对Oromo群体的贬称）
15372,vomit your hatred,价值观,吐出你的仇恨，指恶意攻击他人的言论
15374,jibba&url,涉敏,仇恨链接，可能指向煽动民族仇恨的内容
15376,waraana bilisummaa oromootti&ida'amuun,涉政,煽动加入奥罗莫解放战争
