Tweet,Class
آههه يا هبيلة شيلة الصورة شيل ،امن اسرائيل يعني حقها تضرب سوريا و المقاومة حفاظا على أمنها…	,1
السودان ك دولة عادت الى سوريا الاسد يبقى المرتزقة جنوب السودان سيدفنون بسوريا واليمن	,0
الان دخلت صفحتك وعرفت انك من اللي مشغلهم نظام الحمارين كلاب تنبح ضد السعودية	,1
اديشك فزيعه بهالطله رعبتينا 	,0
قوية معاليك العقل الواعي هو القادر على احترام الفكرة حتى ولو لم يؤمن بها 	,0
مرحلة البلاهة التي يعيشها حافظ الصغير خبرناها جيداً، هي المرحلة التي تسبق عادة تسلّم منصب الرئاسة في سوريا	,0
الرئيس الفنزويلي آخذ دروس خصوصية عند الزعماء العرب	,0
 وانت صغيرة يجب تجاهلك واضح عندك عقد نفسية من صغرك	,0
اكيد مليح هيك	,0
السوريون استضافوا لبنانيين عشرات السنين هربا من الحرب الأهلية بلبنان ولم يمننوا ذلك عليكم	,0
حاج تياسة ما في هيك شي	,0
كما اعتدنا عليك يا قائد صاحب كلمة الحق دمت لنا و للوطن قائد شريف 	,0
انت شو خصك بالحجاب بدك تمشي عارية انت حرة بس ما تحاولي تقنعي العالم بوجهة نظرك بكفي عهر هوا الحريه	,1
الأسد إلى الأبد يا وهابي	,0
وهلق شو بدي اسأل النائب ابراهيم كنعان بيقدر يفتح موضوع المليار يلي أخدن السنيورة وال مليار يلي أخدن جبران باسيل ؟	,0
العمى شو مثقفة في منك عبصل	,1
بالاول اتعلم تكتب عربي ،بعدين تعال احكي عالسوريين	,0
تلحس 	,1
أنتي عربي ما بتفهمي منيح ما رح نتفاجأ إذا ما فهمتي انكليزي	,0
اهل الشام فيهم خير إلى يوم الدين	,0
يس الله بلاهن بحكومة خرى	,1
برافو هكذا انتم خواريف الزعيم وانت يا حسين خاااااروف ماااااء	,1
انت لازم يقصولك لسانك قبل ان تدمر نفسك   	,1
لا أسوأ من بيروقراطية فاسدة الا بيروقراطية شريفة	,0
أهلا وسهلا فيكي نورتي فرنسا كلها مش بس باريس 	,0
ديما الرائعة والمتألقة 	,0
وئام وهاب وصرمايتي سوى وئام وهاب راسو راس خنزير بجسم انسان العماد عثمان بدو يكسر راسك انت ومعلمينك 	,1
حلوه بس أنفك مو مصلي عالنبي	,0
في القران بلسان النبي إبراهيم عليه السلام اذ قال  أتعبدون ما تنحتون  ؟ نعمل الزعيم ثم نعبده 	,0
فشرتي كلكن بتعرفو وحتى أصحابكم اليهود إنّو السيد بس يفول شي هو قد كلامو هذا السيد البطل الشريف	,0
صرتي زبالة	,1
ما بحبك بس حلوي♥	,0
ولدتك امك حرا ايها السامرائي 	,0
طيب بيعنا سكوتك او بمعنى آخر كول هوا	,1
لا مع الحق ولا مع الباطل لا ذكر ولا أنثى لا بطاطا ولا باذنجان	,0
فهمنا قصتك مع الحجاب فيكي تفكي عن سمانا ،روحي اشطبي هويتك بس ما تجي تغيريلنا ديننا ، فصلي دين عحجم عقلك يا وج النحس	,0
صدقتي ديما لكن للاسف اللبنانيين من اكثر تخلفا وعنصريه	,1
عما بقلبك شو سميكة بتحكي ثلاث لغات بالجملة مفكرة حالك كلاس ولا اسخف واجلأ من هيك	,1
اذا بين كل يللي عم بيصير وينقال وينكتب استنتجتي انو اسلوبي انا اللي بذيء بتكوني وحدة مهبولة مع احترامي ههههه	,1
السيد حسن نصر الله في حوار العام مع يشيد بموقف الرئيس ميشال عون والوزير جبران باسيل في القمة العربية الاقتصادية في لبنان	,0
يا حسرتي عليه ليش كان ياكل ليخرا كان مقضيها اضرابات عن الطعام	,1
انتا عاهرة أم سياسي أم شيخ عقل؟ 	,1
جبران باسيل متخلف عقلياً	,1
شعوب بتسوا صرامي	,1
الله يحميك الوطن يبنى بشبابه	,0
زوجة السيسي ماعندها لايقة بدنية مثل الفرنسية لتنحني	,0
ديعانك ختيرتي	,0
شو هالدفاع البيخري يابا	,1
مافيا فاسدة وشعب منافق مسّيح جوخ	,1
كلهم من حزب الشيطان الله لايكثرهم 	,1
يعني انت سياسي عاهر 	,1
دمدوم كم مرة صرت مفهمك معاش تستحمري صايرة متل شحاطة الاصبع ما بينضهر فيكي	,1
تؤبريني بس ما وزعوا عا سنين معونات، عرفتي كيف يا روحي	,0
معالي الوزير نحتاج الى فكر سياسي جديد 	,0
النقاب ما يحجب على الخلايا الدماغية على فكرة 	,0
العما بِقلبك ما أتقل دمّك و ما أسقلك 	,1
دمت يا وئام وهاب يا أمير القلوب 	,0
ولك انت دب مع كل العالم سكوت 	,1
كم كنا نتمى لو اننا في دولة قانون ومؤسسات لما كان معلم عماد عثمان وصل الى سدة رئاسة الوزارة 	,0
انعل أبوكم لا ابو جيش اسرائيل ، كلاب كلكم	,1
انتي اخرسي ومادخلك	,1
يبغالنا نتصل على السفير ثامر السبهان يحط جزمه بحلقك ياخيي ما بدنا نعمل مشكل مع حدا تفوووووووو يا مرتزق 	,1
يلعن الأسد	,1
المحجبة ليست أمية ولا جاهلة صورة عنصرية مقززة لا تمت إلى الروعة بصلة	,0
العرب جرب انتو حلو مشاكلكم الي صارلها سنه وبعدين شوفو مصير غيركم منافقين	,1
انت صوت الحق 	,0
الحق عالحجاب	,0
الإخوان د واحس و علمانيين عملاتنا لوجه واحده وهي يهود	,1
 انتي مسخرة بشرفي	,1
انتي كتير بايخة وبتسوي صرماية	,1
أعلن وزير الخارجية اللبناني جبران باسيل اأن لبنان لمس تجاوبا مع فكرة عودة سوريا إلى الحضن العربي	,0
آه يا حمارويه	,1
بدك تحرري القدس يا ديما؟ بالسكربينة كعب عالي	,0
انبح ياكلب        	,1
في مثل هذا اليوم فطس بغل الأمة	,1
الله يلعن هيك دولة على هيك زعماء 	,1
بطلي علاك	,1
كل مرة كنت قول انك حلوة والناس بغروا منك بس طلعت غلطان مظبوط حلوة بس درجة الهبل عم تعلى وتعلى وتتعمر يا دار	,1
قبيحة منظر ومخبر	,1
الله يلعنك ويلعن هيك بلد فاسد مثلك 	,1
جبران باسيل اذكى وزير  	,0
الحياة عربة وانت مجازيا مو حرفيا، محشوم اخي الكريم كلب مربوط بها، والعربة ماشية فبتحب تمشي معها بكيفك أو بتحب تنشحط بالزور، لك كامل الخيار	,1
ما تعتبو عليها غبية	,1
ماهذة الصفاقه والنتانه ياأنسة	,1
معنا عميل جديد لآل حداد ايوا اتفضلي تابعي	,0
نهاركم سعيد ديما شو لابسة اليوم  عنجد بعشق شو بتلبسي هيك، يا عمييي في اجمل من هيك صباح  	,0
مش معقول كمية الجهل والغباء والحقد الاعمى بالردود شعب بس بعد ناقصوا الرسن المكاري موجود بس هيك ♂	,1
ديري بالك لا تتصاوبي	,0
ديما بحبك كتير وكلي خرا بعرفك بتحبي البهدلة♡	,1
يا كلب يا لقيط ما حدا غيرك العاهر ابن عاهرة يا مرتد الله يلعنك ويلعن كل مين ع… 	,1
كتير بايخة وسخيفة	,1
زمان بالمقلوب ولا يصح إلا الصحيح 	,0
عمى ما أبشعك	,1
ما شاء الله مثل القمر كثير طالعه حلوه	,0
الحين صار إسمه مدعوس باسيل	,1
لا والله ساقطة	,1
لا عيني هول لعونيه وتيارهم ماحزرتي شعبيتكم ع اد مجموعه نمل اسود متل قلبك	,1
كل عام و انت ديوثَة و كل عام و انت نكرة و كل عام و انت ناقصة و كل عام عندك خلل ونقص انت بتشبهي كل الشي ا…	,1
كلب أسود مختلف	,1
كيلو بويا عوجك و مبيني ختيارة	,1
ما اجحش منك إلّا لي عاملّك	,1
هيدا العلم صار مماسح للصرامي  انت عايشه بكوكب تاني حالتك بالويل الشهره مش هيك وحياتك لما بتك…	,1
عم تحكي اصول يا رييس 	,0
و لماذا لم تغردي و يبقى احلى التواريخ جانفي لان ذلك هو التاريخ الحقيقي للثورة و للديمقراطية	,0
يا باريس ، احفظي ما عليكي	,0
ونسيتي استقبلت الارمن ع ايام العثماني لولا سوريا كنتي فحمه ولحمه مشويه	,1
كلكم منافقين هلق تجي قطر تعطيكم كم دولار بتصيروا كلكم تركعوا لتميم قرطة نصابين 	,1
وزعنا عاليونانين و اللبنانيين و الارمن و الشركس كلو طلع فيه خير ماعدا حداً بس حزري مين هوي	,0
ولا واحد من الحمير العرب القامعين على السلطة انحنوا لا لكبير ولا لصغير	,1
وزيركم مخرف	,1
وحمرنتك	,1
وانتي مال أهلك يا معرضه خليكى فى بلدك	,1
روح قدم ادعاء للقضاء بدل ما تعوى هون يا ببغاء 	,1
وانت من السياسين ولا العاهرات	,1
عهدالعلوج ، عهدفاشل استغفر الله من امثالكم 	,1
يا مشحرة شو منوب انتي كيف بتضهري لبرا ولك فوتي عن البرندا احسن ما يراشقوكي تعون السترات الصفر بالبيض	,1
عودة المياه إلى مجاريرها بين سوريا و الإمارات	,0
سوريا جاي تدعس راسك 	,1
والله ماحده دمر العهد بعد جبران باسيل الا انت	,0
يا هل ترى سواد قلبك مثل سواد عينيكي والشاطر يفهم	,0
معك خبر انو بلدة قطر متل ما سميتا مساحتها اكبر من لبنان، لك عيب بقا ارحموا اللبنانية و احترموا حالكم 	,0
و بيحكوا على جبران باسيل	,0
عووي يا كلب 	,1
المقارنة بين جبران باسيل والدكتور سمير جعجع لا تجوز،الاول ناشئ في السياسة والثاني زعي…	,0
يابنت لجنوب ما انت اول وحدة مع اسرائيل وضد المقاومة ما فهمتك مفصومة من ايمتى هل شرف والوطنية لدبو عليكي فجاة ما شفت احقر منك	,1
رب يسعد مساك 	,0
ياعاهرة	,1
ايننا والثورة 	,0
نصر الله يكسر الصمت لما السكوت عن تصريحات جبران باسيل هل فقط لان حزب الله بحاجة الى…	,0
لاتقوليلي مابتعرفي جبران باسيل الرمز العربي قاهر الاعداء مزلزل الاوطان هازم اللاجئين ناصر حزب الله عميل ا…	,0
يجب على القضاء التحرك فوراً لوقف التعدي على الأملاك العامة من قبل هذا الوصولي 	,0
اذا هالمرة بتقولولنا انو رجعت قصة تشكيل الحكومة للمربع الأول، رح نقلكن أختكن ع إخت هاللعبة ما بقى بدنا نلعب	,1
سبحان الله وين ما بروح بياخد الخراب معو شو هالبومة هيدا ولك شو هالغراب انشالله يهرب عالسفارة و يبعتوا عاسرائيل…	,1
يسعد مساكي ست ديما جمالك غير طبيعي الله يحميكي	,0
لقاء خلده      والغريب شيخ عقل وما بيعرف اذا ايران عربية او فارسية     وبأحد خطاباته قال الجمهورية الار… 	,0
بالفعل عيب عليك تحشر انفك بشي ما بيخصك روح وزبط بلدك وحكومتك وديرو بالكم على مواطنكم وشيلو زبالتكم وبلا ماتدخلو بامور غيركم 	,0
كلي خرا، الله بشفي كل المعاقين من معلمك ل يوصلك الدور 	,1
ما رح يخليلنا صاحب جبران باسيل	,0
بحترم وجهة نظرك ، بس ما ننسى انو القضاء كيف تعامل مع الموضوع، و بما يخص الشهيد لنترك الموضوع ل… 	,0
نعم دمشق كذلك ولكن ليست دمشق الحاضر بل دمشق الاموية دمشق التاريخ والحضارة 	,0
يا ريت قبل ما تحاول تحكي إنك تبحث عن الحقيقة؛ بس إنت كل همك تسجيل موقف 	,0
سعادتك شو بدك تحاسب لتحاسب، لبنان غرقان بمتاهات الزعرنة والعكرتة، والصفقات المشبوهة على حساب الشعب 	,0
مدام جبران باسيل سرق و عمر بالمصاري قصر بمعراب، لك استحي يا عيب الشوم ع شعب البومة	,1
حاجتها يا أرنب مصاري افش حنجيبك 	,0
يا ليت تنتقد ايران وما فعلته في سوريا والعراق واليمن 	,0
رح نسحبو من شروشو 	,0
جبران باسيل للمرّة الثانية على التّوالي يقرّ بحق اسرائيل بالوجود والأمان	,0
جبران باسيل يغرد خارج السرب التطبيع مع الكيان الغاصب خيانة عظمى	,0
كسار راس المرتزقة و شذاذ الآفاق	,1
ما في اتفه و انجس منك يا عبد بشار المجرم 	,1
قمة بيروت الاقتصادية وغياب القادة العرب عدا إثنين وضع القمةولبنان في حرج شديد وعزلهم عن محيطهم العربي والدول التي طال…	,0
المضطرب نفسياً جبران باسيل	,0
مربحة لمن طلبها	,0
لو عطوك حصّه، شو بصير رأيك بالوديعة؟ يا ترى بيرجع عهد شكراً قطر؟ 	,0
إستاذ طلال، شخص بعمرك ما بتستحي تحكي هيك حكي؟ في شي شخص استرجى يحكي ضد إسرائيل على ال متل ما حكي جبران باسيل؟	,0
رجعت من الإمارات معاليك ولا بعدك هونيك؟ 	,0
خبر موثق او نكتة؟ بس لنعرف كيف نتصرف 	,0
يتم محاولة تسويق فكرة ان تعطيل الحكومة هو بأمر خارجي على هذا المنطق يعني ان جبران باسيل ينفذ اوامر الخارج  	,0
وكل مين بيشد على مشدو وكل مين مغطية 	,0
صفات ابليس عليه لعنة الله موجودة فيك العقاب لوهاب وهاب قاتل ابو دياب 	,1
مشتهي اضربو كف و قلوانا بكرهك بكرهك بكرهك	,1
اللذة انو هالحليفين ما بيفضحوا بعضن بالسرقة والفساد الا لما يدبكوها مع بعض	,0
ما دمت على طريق الحق نحن معك 	,0
موفقين ونحن معكم وسنقرا لكم 	,0
الخيانة والاجرام بدمكن ، شو خص تيار المستقبل ، ولي بيطلع ع سوريا بحارب الشعب السوري شو بكون يا كبير او صغير ما بعرف	,1
بلبنان إذا فتحت مطعم حتى لو سميتو مطعم الهوا ونجح المطعم والله وفّقك بيجيك ألفين واحد بيفتحوا مطاعم جنبك مقلدين الاسم…	,0
خراس وسد حلقك لانو مافي هيك حالات	,1
هاد مهبول هاد الزمان قلو خراس شي ماتلحق عصام زهر الدين	,1
يمكن بهالتغريدة عم تحاولي تنسي الناس هبلك وتفاهتك بمقابلة جو معلوف بس بفتكر مش ظابطة عريتي نفسك امرأة سطحية تافهة	,1
افهم ما قاله جبران باسيل وأتفهمه، كما افهم موقف حدا جذري متل اسعد ابو خليل، لكن لا افهم ولا اتفهم من يخون هذا او ذا…	,0
جبران باسيل و الحفّاظة وجهان لفائدة واحدة	,1
محاولة بائسة و مذلة للبحث عن الرز 	,0
ما هو ضمن عاهرات 	,1
تاني شي ليس لإسرائيل اي حق في الوجود	,0
ال ً مبلشين من الليلة بالحملة ع جبران باسيل ب منا وجر	,0
ممكن سؤال ليش حزب الله بيتحمل كلام جبران باسيل حول ان إسرائيل لها الحق بالدفاع عن امنها؟فيمالوقال هذ…	,0
نحتاج الى رجال لا تكون أبواق وأدت للأنظمة المجرمة 	,0
نديم لطيش ماريا معلوف البقرة الضا…	,1
كثرة الكلام ثرثرة 	,0
بتمنى من اخواننا في الوطن يلي عم يتهموا الوزير جبران باسيل يقرأوا هالتغريدة من صحافي كلنا منعرف توجهه السياسي  	,0
سقوط تفاهم معراب بذكرني بسقوط الاتفاق قبل حرب الالغاء شخص مريض ما بيشبع حروب عبثية حتى لو طلعتو رئيس	,0
مباشر من بيروت مؤتمر صحفي للأمين العام لجامعة الدول العربية أحمد أبو الغيط ووزير الخارجية اللبناني جبران باسيل	,0
كول هوا نحن مامنشتغل عند كلبك بشار	,1
قصدك قارطوا 	,0
في هذا العصر قلة من الرجال التي تنطق بلحقيقة الله يحفظك 	,0
يا ولاد الهابلة	,1
منطلب من الجميع عدم التدخل بما فيهم انت لانك اكثر من ضلل القضاء ساعة عم تغسل ساعة عم تفتح طريق و ساعة ح… 	,0
جبران باسيل بلكي بصيرو النواب والوزراء يشتغلو	,0
معناها حقو الشحاذ يعيط عليكي هههه	,0
طول بالك لا تعرف من وين الخير 	,0
على الأقل دحلان بالنهايةعربي قح وليس اسرائيلي كما زلمتكم عزمي   	,0
الواعي مايروح يتحالف مع حليف حزب الله التيار العوني ويلعب فيهم جب…	,0
شو عاملك عماد عثمان تخمين باعصك 	,1
كل لبنان عهر في كل شي	,1
عندما يبدع اللبناني في مصلحته التجارية سيارة نقل الموتى هذه تضمن وتكفل لك الجنة   … 	,0
تصريح لاحد النواب من حزب الله مشكلة الحكومة ليست عند الوزير جبران باسيل بل عند الرئيس المكلف منطق سياسي سليم ودقيق	,0
كل الحق علينا كل اربع سنين منعيد الغلطة ومنجيب نفس الطبقة السياسية 	,0
انا بقدر اوقف بوج جبران باسيل وقلو انت شيطان وقرد	,1
انت مين لا تجي تأمر مين انت مين 	,0
عيب هيدا المستوى من الحديث 	,0
وطن بحجم وخصوصية لبنان من المستحيل أن نحمله مسؤولية سلامة وتحرير وخصوبة ووحدة أمة بكاملها بينما سواه… 	,0
عندما يتطاول الصغار على الكبار نكون في الزمن الردئ وعندما يحاضر امثالك بالعفة فتكون سخرية القدر … 	,0
جبران باسيل رقم الصعب و الرئيس عون الرقم الأصعب و اثبت ذلك منذ عودته من المنفى و ليس الآن	,0
أنا بعتز وبفتخر برئيس جمهوريتي فخامة الرئيس العماد ميشال عون وبرئيس تياري الوزير والنائب جبران باسيل وبعرف إنو هني…	,0
وهذا من حق الوزير الملك جبران باسيل	,0
جبران باسيل معتوه	,1
وبعدين بقى شو بدك فيي علقتني بهل الورطة وعملتني نايب	,0
اعتقد الوزير جبران باسيل بسبب مواقفه الداعمة للمقاومة في المحفل الدولية	,0
الدولة بتتمنى عالشعب ما ينق كتير اذا شاف طرقات تجعلكت عالعاصفة، كله بالكَوي بيتزبّط 	,0
ههههههههههههه لك الله يلعن ابوك عهالخلفة العمى ما اسألك واجلطك وكمخ وزنخ وسميك ومقرف تجيك جلطة بنص لسان… 	,1
قال جبران باسيل انو أمير قطر كسر الحصار على قطر و إجا شارك بالقمة    ♀    ♀    ♀    ♀ 	,0
وئام وهاب الطائفي سبق ووصف المرأة السعودية بشوال الفحم للأسف الإمارات لم… 	,1
أحن الى زمن لما كنا اذا اشترينا جينز وطلع في خيط منسّل نرجعلو ياه ونجيب المصريات هههه هلق ما منقبل نلبسوا اذا مش آكلو الكلب 😎	,0
طلع اذكى من ميشال عون و جبران باسيل مجتمعين ، انا معو لرئاسة الجمهورية للموت      	,0
هيدي الصورة كفيلة تجنن جمهور الحركة	,0
إلى كل من يتهم الوزير جبران باسيل بوضع شروط في تشكيل الحكومة…هذه ليست شروط…هذه أصوات الناس في الإنتخابات النيابة…وهي أمانة…	,0
وطن يحتاج الى شعب جديد، لانو البشر بتروح وبتجي بس الارض والوطن باقي رغم فساد القوم يلي حاكم فيه هلاء 	,0
من يسير في توجيهات المشايخ الأجلاء ينصره الله على كل مستبد 	,0
القمة ترفض «عودة النازحين»	,0
لا وطن بحاجة لنا ولا حاجة لنا لوطن 	,0
لاء يا رفيقة هيدا من هو الطبّات يلي بيلزقو عالحيط 	,0
نسيت شكرا قطر ؟ طول عمرك بتاكل وبتنكر مثل أسيادك 	,0
لا تكره شيء لعله خير   	,0
خلص يلا عمول متل وليد المعلم وامحيها عن الخريطة هههههههههه 	,0
معجزة إنه كلنا تربينا هيك بالكندرة وبالآخر طلعنا ثورة	,0
هو وهابو نفسو مش فهمان على حالو كيف بدك الناس تفهم عليه هيدا الأنسان بدو يعبي وقتو من ال… 	,0
من يستحقها ، الاقوى في بيئته اعتقد واجزم أن جبران باسيل سيكون الاقوى من ناحية التمثيل النيابي	,0
ما هذا يادكتور علي خطأ قد يصفه البعض بغير المغتفر لانه في موقع من المسئولي… 	,0
بفرح بس شوف عدد من النوّاب و الصحافيين مقهورين من الوزير جبران باسيل بصيرو يصرحو و يحكو حكي فاضي…	,0
انا مش عربية انا فينيقية لا يا شطورة إنتي حمارة	,1
عمبتقول راتبك الشهري لجمعياة الخيريه طيب لتصير ناءب بلاول بس بطمنك مرح تشوف النيابي 	,0
هي واقفه على عماد عثمان فقط اذا دققنا بوضع البلد نجد أن وضعه انهار وسقط من اسقطه لا أحد من نهبه لا أ… 	,0
هههه ليك مين عم يحكي العاهرة عندما تحاضر بالعفة      	,1
في كم وزير يمكن مش كذابين بس شكل وجُّن ونبرة صوتُن ما بيوحولك إلا بالكذب، خِلقة 😎	,0
أنا بوصلو عنك ماتعتلي هم يلا وئامو هههههههههههههههههههههههههههههههههههههههههههههه      	,0
كول هوا عقبالك لما تجيك صرمايي بخلقتك	,1
كيف وجدتم مقابلة الوزير جبران باسيل على قناة ال  ؟	,0
عنجد عم تحكي وانت شو مفروض يكون مصيرك ؟ 	,0
حمير والله حمير ما قبلانين يصدقوا انهن حمير	,1
وديعة بفواءد عالية لمص ما تبقى من دماء الشعب خليل الكافر في رواية النبي جبران هدم عرش الطغاة… 	,0
بنقول يلعن روحك يا بشار بتطلع لنا عاهات بتقول لك ادعو لولي الأمر ولا تكن فحّاشا، أي يلعن روحك يا بشار على روح أبوك على…	,1
يخليلنا ياك يا رب 	,0
ساعة بتقول حرامي وساعة بتقول مفلس وأفلس شركات والده ، يا فهيم لي كان ماسك شركات والده قبل الاغتيال هوي الشيخ سعد ،ومين حضرتك لتقرر ومع مين ، ما مبارح كنت عم تسب الشيخ نعيم من شان الانتخابات ، يا زلمة مختار ما طلعلك وجاي عم تقرر ب لحدا انت	,0
عم أساس انت مهندس 	,0
هل تعلم أن جبران باسيل لا يوافقق الرأي عن وجود إسرائيل	,0
وان النصر لقريب 	,0
جبران باسيل فاشل بالسياسة صبي مغرور يدعي انه ذكي لايفكر بما يقول مستواه وتصرفاتهفضيحة بحق لبنان	,0
بس امت حاقد على جبران باسيل روح صفي حسابك بينك وبينوا وإذا عندك وقائق برزها للراي العام لتحترمك الناس وإذا…	,0
نحتاج الى حكومه جديده والقديم يروح يتقاعد لان الشعب شحد من وراهم وفلسو البلد 	,0
مافي احلى من الضحك    	,0
لغويًّا وقف التضليل حضرة رئيس حزب التوحيد العربي على أساس 	,0
وكل مين بدو يشد على مشدو 	,0
ما هم إلا عبيد مأمورين لسيدهم الاميركي والصهيوني ولكن خسئوا تحطمت مؤامرتهم على أسوار دمشق المنيعة تحت ا… 	,0
باسيل بحث ونظرائه العرب عودة سوريا إلى الجامعة العربية	,0
لا جدوى من السدود، ودراسات عدة اثبتت من سنوات ان السدود مضرّة وخسارة مالية فادحة ومع هذا تباهى وزير الخارجية والنائب…	,0
طز فيك و باللقاء تبعكن لقاء الأوباش و قطاع الطرق إن دعوت شيخ عقل الإقطاع الارسلاني هو تدخل بشؤون طائفة الم… 	,1
طبعاً لايجوز ولكن لايجوز ايضاً للشام ان يقودها ابن ديوس ديوووس الشام وهدهده 	,1
اتمنى على حدا ماالو علاقة بالاجرام وموت الضمير بس هادا وليد مجرم وقاتل بتتمنى عليه 	,1
يا معالي الوزير، الوضع نفسه لما تهلل للشقيقة سوريا وتعادي كل العرب مصيبتنا انو كل فريق بهلل للخارج، ال… 	,0
مضيفا نحن بزماننا ما كان عنا غير مجنقات بخارية قال بدهن الكترونية قال حاج اكل خرا	,1
هوى من يحق له ان يتكلم وامثالكم الخانعين في احظان الغرب والصهاينة ان تخرسو 	,1
هذا اخذ جائزة حمار القرن الحادي والعشرين	,1
وهاب يشكر الرئيس عون 	,0
ما عمنفهم خلص اخدتو قرار تعزلو لبنان نهائي ؟ مافي شي عاجبكن يا بتلعبوني عدلالي يا بطل بدي العب ، عيب لي عم… 	,0
أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر	,0
يجب الدعاء لنزول النيزك ومن بعدها ظهور شعب جديد 	,0
يجعل آخرتنا على ايد مبرمج ابن حلال و بخاف الله	,0
منك عارف انو كل يلي بتمدحون بيضحكو بيتمسخرو عليك 	,0
التيار العوني كتير وزرا من عندهن عمبيغلطوا واهمهن الوزير جبران باسيل يتصرف وكان كل لبنان تحت امر جماعة الممانعة والمنا…	,0
ما لقيت جريدة موضوعية غير جريدة الاخبار؟؟ 	,0
أنت أكيد تقصد شيخ البلاط الجنبلاطي بكلامك 	,0
يعني هيدا الشي يلي إسموا جبران باسيل، لو عمل شغلة وحدة منيحة بحقّ الوطن، من قصة الكهربا، للباسبور اللبناني، لو عمل حا…	,0
لا دولة دون محاسبة الفاسدين 	,0
كبيرررر يا وهاب 	,0
يلعن قطر وحكام قطر لان من لعنهم لعن اسرائيل 	,1
معك حق بس هودي حلفاء أسيادك يا دب 	,1
شيعة جنوب لبنان معروفين عند اللبنانيين بالفوضوية ورفع الصوت وعندما يهزمون بالحجة الحل عندهم الفوضى	,1
لبنان هو الوردة وشعبه اريجها لبنان هو شعبه ادمون الخازن 	,0
لأنكم يا استاذ حبيب انت ومن تمثل من فكر همجي ودموي لا تفهموا الا لغة الحروب والدماء والخراب انتم وثقافتك…	,1
في اوروبا والبلدان المتقدمة بعد هيك مقال واحد من اثنان بفوت ع الحبس اما الصحافي اذا كان كاذب او السياسي لانه اخذ… 	,0
المهندس جبران باسيل شاء من شاء وابى من ابى لأنه الاقدر على التنسيق بين الداخل والخارج بالاضافة الى الوقوف الى جانب المقاومة	,0
هذا لقاء المعروفيين الأصلاء بارك الله جمعكم للخير والصالح العام 	,0
الوزير جبران باسيل للمرّة الثانية على التوالي يقرّ بحق اسرائيل بالوجود والأمان	,0
كلين للتخسيس	,0
قلتلك اغطيني اسم الكتاب ومستعد ناقشك للصبح، يا كمل يا كول هوا	,1
وهجرت مليون ارهابي قذر مع عائلتهم وقتلت من قتلت وبقي القذر المجرم 	,1
أيا تخبيص يا سحر؟	,0
سوريا قلب العروبة النابض اعطة الخونة درس بالوطنية والصمود سورية المقاومة 	,0
نحتاج الى شعب بفكر جديد لينتخب مسؤولين محبين للوطن وللشعب 	,0
أمير قطر يأتي بأوامر أمريكية لمهمة محددة وهي تحويل المؤتمر منصة ضد سورية والتحريض على رئيسها	,0
هودي يلي حكيت عنن كلن موجدين بتفكيرك وعقلق انت اول مفتن ومخرب والمأجور بس وضح اكتر للقطري حيناديلك 	,1
كلكم من فصيلة الكلاب الخونة المرتزقة لا استثني منكم احد لبنان بحاجة لانتفاضة اذا أراد الخلاص من فسادكم وعهركم 	,1
مياومو الإعلام اللي شالوا كل مشاكل البلد تيركزوا على جبران باسيل	,0
لك كراي عليهن العفو منك من هون لعندن	,1
اثار وصف وزير الخارجية والمغتربين في حكومة تصريف الاعمال جبران باسيل زيارة الأمير القطري «بخرق الحصار» حفيظ…	,0
خلصت القمة وصار وقت الحكي	,0
أمّا علاقتنا مع جبران باسيل فهناك صداقة بيننا وإحترام و…	,0
كلماتك ما بطًمن، الله يحمي اللواء عثمان و يرحم وسام الحسن القتله بعدن خارج السجن 	,0
كلنا معك معالي الوزير الملك جبران باسيل	,0
لا أنت ولا عتمان ولا كلاس ولا ارسلان ولا جنبلاط ولا بري ولا الحريري ولا باسيل جعجع فرنجيه الجميل عون جر… 	,0
كنت بتفضل نهلل للسعودية لو أعطتنا الوديعة ؟؟؟ 	,0
ويقول انه ابو كل السنة في لبنان 	,0
كركوز 	,1
جبران باسيل ساجعل المسيحيين في يوم ما ينسون زعامة كميل شمعون و تجربة بشير جميل  	,0
والله ما فهم لقطر غيرك يا معالي الوزير تقبل حبي وتقديري   	,0
سمعت بك صباب القهوه عند وليد بيك وماصدقت لكن لان بدون شك صادق 	,0
كلنا ثقة فيك ايها القائد 	,0
وشو خص اهل السنة يا وكلكن صرتو وطنية و ما تاكل ماكدونالد و و بيبسي وكوكا كولا ونستلة وميسي ورونالدو وكلو يهودي وبيدعم اسرائيل ومين بصنف التاني اذا وطني او عميل ، الخيانة والعمالة بتكون بس الواحد بفضل مصلحة بلد تاني ع بلدو وبي	,0
وهاب الإستفراد بالتعيينات ومرحلة إلغائنا إنتهيا 	,0
لكل يلي عم بزايدوا على جبران باسيل سنة التزم لبنان بمبادرة السلام العربية التي انطلقت من قمة بيروت ويلي قامت على مبدأ…	,0
قل كلمتك وامشي ولايهمك كلام الحاقدين والمتزلفين كن مع الحق ولاتبالي 	,0
اذا اسرائيل بدها تحافظ على امنها، و هيدا حقها، لازم تبطل تعتدي على الدول الأخرى	,0
بحبك يا زعيم	,0
ادام الله ضحكتك	,0
نسيتوا اسرائيل والعدو الغاشم عههههههعهخخهخحجحخخمننه 	,0
