text,toxic
  ما رايحه تكمل فرحتك ابقي تذكريني بعد بكرا,0
يعيش القاوري والعكري تتمنوا تمشوا لبلادهم روسيا فرنسا وايطاليا وغيرهم هوما خير منافقين تلبسوا الفريب فضلات الثياب القاوري خير ومحال تلحقوهم ثقافتهم عشتم بنات تونس الاغبياء وجهلا,0
فوائد الخمر:🍺<>ينظف المعدة<>ويزيل حب الشباب<>ويقتل الجراثيم<>ويحرق الدهون<>ويحرقك بقبرك<>ويحرقك بجهنم <>يا سكير يا نكير يا عدو الله😒💔<>هههههههههههههههههه,1
معرس معرس تشرب محاج تخسنا نحبها مريم نقلك حاج مريم ميهمكش شعب يلوج تافهة مريم معرس اختي ربي يهنيك ربي يفظلك الصغيرة زين نحبك برششششششششش,0
صباتو بيسوى نعيم حسن تبعك منيح تقل لاتقلك بعد تكرم,1
@User.IDX مساكين هذي اخبار الخنزيرة ،ماعندكم ناشطات في قطر يأخذون شهادات فخرية 😂😂😂 ,1
طيب بيعنا سكوتك او بمعنى آخر كول هوا,1
نفهم سامحني بهادي الهدرة راضيتني ههههههه نحبش نزعف الواحد بصح بلاك تقلي مرة تانية تعرفيش الدنيا صاح نزعف ههههههه خاوتنا التوانسة عرفناكم بالمليح الشين حبيناكم ياك الدم يجبد,0
ايطير طيران بشير براا قعادت تنافق وموش عجبك,0
مفتي القتل صهيوني بامتياز امثال القرضاوي مرض عضال في جسد الأمة,1
 حبيبى يا ابو السيد يا ابو قلب طيب ♥️,0
 الله يحميكِ ويعطيكِ ألف عافية ❤ ,0
خوذ نضرة خايبة اخرج حياتنا نمشي نلقاكم تعلقو ماعندكمش حاجا حياتكم,0
   هيدي حجة كل السلطات على مدى كل الثورات و الاحتجاجات ، التهديد بالفراغ ،,0
لو عنده كرامة طمر حاله بالتراب مجرم,1
 اقلق يا وليد وأقلق اوي خرفانكم خلاص بيشطبوا عليهم والمفرمة شغالة 👈 يا خراب بيتك يا شرابي 🤣🤣🤣🤣🐑🐑🐑🐑,1
" روحي انضبي يا كركمي
تفو عليكي و على اخلاقك",1
نفسي اعرف من السفلة اللي حاطين ديسلايك دول ,1
 بس ممكن نعرف السيد بشو مشارك بالفساد ولو ما سماحته ما كنت عايشة باطمئنان,0
الإسلام نشرناه المغاربة أوروبا وحكمنا الأندلس ولد القحبة إقطاعية الشواذ إقتطعتها فرنسا أرض المغرب العظيم روح جمعو خواتاتكم ومواتكم فرنسا نطف النيك الدوكولي ترحمو دوكول أوجدكم شعب اللقطاء تهضر المغرب اللينعل بو الزامل بوك ولد القحبة أسكت إقطاعية شاذ أسست بظهير,1
 إنت كلبة شوارع يا ديما الواطيه,1
 امين يا رب ولك بالمثل يا نهى 😍 ونتمنى لك كل خير في حياتك ويجعلها كلها مسرات 🙏 صافي مبقا والو مابين الستين والسبعين 😂,0
صح مسكين عندو شوي انوثة بصح متربي بزاااف,0
" : تحية من عكار إلى الاعلامية #ديما_صادق
 كتير حلو كلامك وتعاطفك مع الناس  بطرابلس.❤️��


#",0
   حبيبي يمنى وديما وأشكالهم الصحفيات هدول بكون طريقة الرد تهكومية وتركيز على نق… ://./559,0
 علي حسب انت قريتها ازاي يا لئيم يا ابو قلب اسود,1
الانيقة تلبس الكعب العالي ولكل واحدة مزاجها في لبس ما تريد ( شاكان سون قو ) ,0
جبران باسيل هو قليل من بشير جميل و قليل من سمير جعجع وفارس سعيد,0
شمس الدين نحبك والله يغارو يبان بلي مقهور,0
الله يلعن الإخوان المسلمين و بلي بذرهم للمرة الالف على التوالي أُناشد رئيس كوريا الشمالية المحترم كيم…,0
قالو وهاجموه ورفعو السلاح ولكنك منوم تعلم تهرف تعرف وكلامك متناقض تتهمهم أنهم يقومو تتهمهم أنهم مزلزلو للامن تناقض فاحش أعرف تكتب المرة القادمة,0
 يا هلا بك .. يا غالي في حال تم تحويل نقاط كرصيد في المحفظة عبر الاونلاين فستكون متاحه لمدة 30 يوم ، هل تم التأكد من تاريخ صلاحيتها ؟,0
" 321: نانسي السبع خسئتي !
هؤلاء ليسوا حزبييين هؤلاء مواطنين شرفاء...
الحزبيين بس ينزلوا صوتك ما رح يطلع...",1
يبدو أن أسيادك في دمشق يؤلمهم الخازوق القطري ومنزعجين من الموقف اللبناني الرسمي مما يفسر ارتفاع حدة صراخك,1
والله شمس الدين ضهر متربي لطفي,0
اكيد قابظ شي مبلغ مرتب لسكت,1
" : ديما صادق: باسيل غادر وكل عائلته الرابية ليمكثوا في قصر بعبدا
://./698
 
#لبنان_ينتقض ://.…",0
عقول بدائية الخلود الدنيا يمنعني الدفاع بلدي,0
ايييييييييييه كانسيلو من البداية يا متدرب يا عالة يا جبان,1
المخنثين الجزائر ولاية تلمسان المخنثين يفتحوا ترمهم هههههههه,1
الرئيس ميشال عون الرئيس العربي الأصيل,0
يعني ما افهم حقيقي تضاربوا يعني خلاص حنكون زيهم؟ حفلهم كان بقاعه والاهالي كلهم موجودين واحنا بمدرسه وبس شخص واحد يا ام يا اخت تجي معك واحس يارب انك تلعنها اذا حتى على الاشياء الحلوه تنكد علينا فيها الجزمه,1
ظاهر لديك فكرة تكتب تعليق تخرج بسواد الوجه,0
القوم الاسلام الاسلام ولي طامع يطمع ربي الميراث,0
قالها نخدم الصغار هههه القصف جدك ديمااااااااااا شاب بشير الجزائر أحييك,0
 يا وضضييع يا نقصصص ست اهدافك تعرف وين تحططهممم يا صيييااااااحححح <>سسمعني صييياحكككك يا نقصصصص,1
كذبك يا أيوب كذاب ونص جبران باسيل انظف من ضميرك,1
هي الفكره بس في الوسط الزباله الي مصر للاسف وصلت له يعني مفيش اي مانع ممكن يمنعك من ركوب العجله غير الى بيرتادو الشارع حواليكي وردود افعالهم الي كلها هتكون حقيره ,1
 كان في جيش احتلال وتم اخراجه مذلولا بدماء بسواعد ابناء الجنوب ليعود جيشنا البطل لينتشر على ارض الوطن .....فهمتي يا بقرة,1
لا تندهي يا رابعة ما في حدا,0
"""@User.IDX إستحي على نفسك يا """"وغد"""" """,1
الحقارة حينما تنطق وزير خارجية لبنان جبران باسيل مثالاً,1
1   انا كمان، اكيد اكيد اكيد، بس بدنا نكون رايقين، كمان هيدي انسانة، وعندا أهل.,0
 إنت وحدة بلا أخلاق وبلا أدب.عم تتمسخري على رئيس الجمهورية. عندو ولاد قد بييك وإمك. تقبلي حدن يتمسخر على… ://./588,1
 يا حمارة يا سطله ما بتفهمي عربي ، سماحة الأمين العام تاج رأسك قال لن يسقط العهد ، جايبي العار لبلدتك الخيام ، تفه يا شاضومه,1
عفوان نجمو نقولو شمسة متربيا بلحق هلك تونس ريق البارد فضحتونا عالم هاذا يدافع ذكر يعرس بذكر عارف نوصلو,0
القم يا ايطالي يا ابن الكلب انت و باصك يلعن اهلك <>هيا فكووو الحين,1
@User.IDX شهداء.... و ذنب السيسي و اذنابه من حطب جهنم ,1
 :  والله يا أنت مسخرة يا #نايفكو 😳 وحتى وصف #ليبرالي على قبحه حسافه يطلق على مثلك ههههه<>فلوكنت تعرف الدين عرفت إن هذا ل…,1
هوني يبان الفرق تخل قليل لحياء,0
دول الغدر والخراب والعمالة ستنكسر امام جحافل الشرف والشهامة اللبنانية و السورية,0
والله انت من يحتاج الي طبيب نفسي وعساك ما تطيب,1
بالنهاية هدول المسلحين مواطنين ادرنيين بتمنى من الحكومة الاردنية تشوف مطالبهم وماتقاوم بالسلاح وتحقن الدماء الله يحمي الشعب الاردني اتعلمو منناالسوريين يلي صار .. ,0
@User.IDX عصاابات حمااس اللتي !! قمعت المظااهرات في غزه !! وتقاتلت على الأموال القطرية !! <url> ,1
@User.IDX هؤلاء هم ال سعود الأنجاس اذلاء حقراء لدى ترامب و يظهرون انفسهم اقوياء على افقر الشعوب ,1
ياحليل ابن الاخونجيه غيرو المنافقين داعمي المثليين والعراه,0
خصوصا ان سي ان ان طردت,0
لك كراي عليهن العفو منك من هون لعندن,1
موهوب ههههه بتفرعيس لغنيات ههههه نضحك ههههه,0
يا بعيد بالمسافة، يا قريب بالشعور<>انا كل اللي اخافه، بعدنا يطول شهور,0
 يا جماعة ما تردو على هل واطية سواقية هيك عم تعملولها قيمة حرام شوحقيرة,1
بدك تعمل برنامج ينجح؟ حكي عن جبران باسيل مياومو الإعلام,0
فوق راسو بس ما حددت أيا راس منن,0
"ده مش امن الدولة، دي دولة الأمن، من ساسها لراسها. مبروك علينا الاستقرار (سامعك يا للي بتسميه ""ركود"" يا عديم المسؤولية يا خاين الوطن)",1
@User.IDX والله ياحنا نضحك عليكم ضحك هل شاهدتم إستقبال #خادم_الحرمين_الشريفين_وإمام_الأمه انتم عرفتم من متولي امور الدوله في غياب المليك #محمد_بن_سلمان جبل طويق موتوا بغيضكم والعالم يعرف يهودتكم مايسير خلفكم سوى منبوذين ولافضتهم بلادهم وماعليكم في تلك الز,1
@User.IDX تخسى هذه ليست شخصيات عربية. هذه رخوم واخس من رخوم. هؤلاء مطايا الفرس والترك. ,1
حليتولهم ترمهم فها لبلاد القحبا كرهت زكمكم ختفوه نيكمك,1
3666  يعني لعن الله ديما، هي اللي عم تحركش فيها,1
 601: داعشية الاعلام نانسي السبع تتبع اساليب الخبث والحقارة في الاعلام,1
عفوا أنت مخطئ الموضوع عنزة ولو طارت المواد الإعلامية التي تستعمل لإبراز موقفا ما مش لازم ت…,0
تفووووو لطفي العبدلي راجل شمس الدين,0
 غالبا يا ميت يا متواجد على الدوام روبوت 🤖,0
 انا ساكن افكاري لاني افكارنا متطابقه حبك سرق مني مهجتي ولا عقل من انساه يا بوي يا بوي الله يسلمك حبي الاول والاخير يا ساكنه يا قلبي بصفتك ملكه العرش للابد في قلبي⚘⚘⚘,0
 : يا بني أدم يا غبي لا تتظاهر بالعمى و أنت تشوف كل شي بوضوح وتطوف زلاتهم دوسهم و إمشي,1
تفكير تونسي المائة حياتكم تدور المادة الغني الفقير المتوسط,0
 واللي شفتين ب ١٣ تشرين يا عا..شو هيدول من وين بس رح نفرجيكي قديش حجمنا مع حبة مسك وحياتك��,1
يا انا بوخذك يا الله بوخذك — دواويين وحركات كلزق ,1
  صدقنا انك نزلتي.. ليه ما بقيتي #ديما_الواطية,1
تأكلون من لحم بعضكم ان شاء الله ,1
لايوجد شئ اسمو تيار سلفي لايفقه شئ السلفي اتبع السلف الصالح واتبع سننهم ومنهجهم اذن السلفيين مؤخوذة السلف الصالح اصحاب النبي الصلاة والسلام ملتحي سلفي نسال يتقبلنا نكون السلف الصالح,0
ما نايكن الا جبران باسيل عن جديد منا وجر,1
جزايري يللي ماكلتهم تسمم البدن الكلب ياكلهاش يدخل تونس يرمضن ياكل ماكلة محترمة يحل كشختو يكذب وقاحة هوما يللي اقعدو فبلادكم نعنبوك مللا كذاب خبيث,0
أقسم بالله راجل ونص ولد عواطف رجال لوح ميشري الآخر بالفلوس,0
والله يا مستر محمد يا ريت تويتر شارع ده ناس فاكره التايم جنينة الأسماك هههههههههههه ربنا ميحرمنيش من حضرتك يا غالي يا محترم ولا من أخلاقك العالية ولا من سؤالك الغالي يا غالي😘😘😘😘😘❤❤❤❤🙏 ,0
قالت أطول علاقة لمدة سنين بنتها عمرها سنين,0
يخرب بيتك ذو ذكي من أي حظيرة حيوانات فلت هذا البغل؟؟؟,1
مرجع كبير منو هوي يا تيس,1
زطم مش بيئه؟ حتى كول هوا اشيك,1
"""@User.IDX انتم قناة هدفهاا الاول تشويه سمعة المملكة العربية السعودية ولن تستطيعون يا ( الاخوان المسلمين ، و إيران ) ونحن لكم بالمرصاد يا ايها الحثاله والمملكة ثابته ضد الهجمات الاعلامية الفاشله الي تشنها ( قطر """"الجزيرة"""" ) . """,1
والله طلع راجل ولد عواطف برفوا,0
نعم والف نعم نعتز بك ناطق بكلمة الحق,0
 صدارة بتعبنا مب بتعب غيري يا مسياري يا حمار 🦓 هههههههههههههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه سمعني نهيقك,1
 : بقى مش عارف إية غيرنى يا بريئ يا حنين يا ملاك 😏 ,0
الله ياخذك يا كرواتي يا سباك عمر الهلال م كان ضايع كذا حتى لمن كانوا مدربين الأولمبي يدربوه.,1
@User.IDX كولو زق محمد بن سلمان أشرف منكم يا كلاب ,1
شمس الدين إنسان محب وراجل سيد رجال لطفي قلب كحل وإنسان مغرور وغيور,0
يا معوضني يا مهنيني <>يا اكثر شخص احبه انا,0
والله مساكين التوانسه علاقه بالدين الزلت والتفرعين نسو فانساهم انفسهم يهديكم,0
 :  والله من انزه الحكام لكن هم اذا حكم ما يصفر لهم 100% يكون مرتشي حسب رايهم يا تكون معانا يا تكون مرتشي…,0
حدود حكم تستطيع تغيره تعرف بني ادم خطاء غيرة اسلام حبنا الرسول صلى وسلم,0
 : حلوه يا بلحه يا مقمعه يا حجبه مواقعك لاربعه #باطل ,1
يجب الحكومه التونسيه تعتقله وتضعه السجن وامثاله تريح الشعب والشباب التونسي,0
والامن متفلت، والمحاكم نهشها الفساد، ورجال الدولة خيرهم للخارج، والتلوث باعلى درجاته,0
فالمسؤولين فيه ما عادوا مسؤولين لبنانيين بل اصبحوا طوائفيين,0
يا صباح الخير يا صباح الحب يا صباح الربيع<>💛😎<>#عيش_الآن ,0
1-الجول اللى سجله الهههخوى لازم يأخد بوشكاش وهدف هيتسجل ف تاريخ البريمير كأفضل الاهداف<>2-سكارى تشيلسى وصفوه بارهابى فرد عليهم بحركة اليوجا اللى معناها سلام!مش حملة يعنى وقابض منها !<>3-اداءه ف الماتش حدث ولا حرج اداء عالمى!!<>كسم جهلكوا يا ولاد الشراميط يا مستنقع تعريص وعبودية🌸,1
الله يحفظك يا محمد صلاح يا هدية من الله,0
 ما فيكي تختصري تيار بكم شخص، متل كانو عم نختصر الحراك بوحدة متلك..   #خففي_عقد_نفسية,0
 عقلية الأطفال حقت جمهور النصر بطلوها الاتحاد نادي كبير ويلعب باسمه ويخدم نفسه وما يلعب عشان احد وانت يا جماهير النصر يا تفوزعلي الاتحاد يا تسبونا بطلوها الاتحاد نادي كبير وعريق زيكم حتى لو جار الزمان علينا الاتحاد كببيييييببببببببر واحترموا,1
أئمة تونس ينصحو ولي أمرهم يريد يتبع الحق هواه ويريد يغير,0
@User.IDX عباسي مدني. رحمك الله يا رجل ورحم أمثالك. ولعنة الله على من عداك وعلى امثالهم ,1
اللي ما فهم بعد إنو الأخبار اللي عم تطلع كل يوم ع جبران باسيل هيي تلفيقات أقل ما يقال عنّا تافهة ، بيكون ساذج بأقل…,0
وقاتلة كمال جنبلاط وقاتلة الحريري وجبران التويني وسمير قصير وسليم اللوزي والشيخ حسن خالد وكتار من الاحرار في بل…,0
كفّوا ألسنتكم عن روح القائد الخالد،يلعن روحك يا جولاني كوليرا,1
عزيزي تخلص جهلك مسيحيتك حر موضوع تعليقي والمغرب جزء الشرق الاوسط ذكيا لنظرت لمعنى اسم المغرب,0
شو عاملك عماد عثمان تخمين باعصك,1
حكايت الزوز صغار تطلع رمضان وقت قالت خوات وقامت تبكي,0
لطفي العبدلي جيبلي مرتك نيكها وشد خدمتك الشرف تاعك,1
ممكن حد يفهمني وضع السوريين اللي مؤيدين بشار وبيحتفلوا في حلب؟ يعني هل هم مغيبين ولا ايه؟ هل هم زي مؤيدين السيسي عندنا بمصر لما حصل فض رابعة؟ ياريت سوري أو سورية ترد الله ينتقم منهم الاتنين اذا كان بشار ولا السيسي اللي بيأيده ,1
قوم يا ماني يا خول اعمل شاي لصلاح فخر العرب الحقيقي,1
بالله الأمة تسير نفق مظلم الخونة والعملاء,0
 كفو يا يمن يا اصل العرب ،، التاريخ يقول اليمن مقبرة الغزاه . ياويلهم ويل عملاء الفرس و الاخونج . اجلدوهم جلد . مالقو الا اليمن يخسون ماا يسلبونها من عروبتها و قبيلتها 🇾🇪🇸🇦,1
دون شك انو مستاهل الحذاء لكن انغلترا بلد الحريات لو هل تصرفات بيحميها القانون اللبناني ما كنت بتلحق عد صرامي,1
شكرا النصيحة العادة شخص محترم مأدب بالأخص البنات المأدبين المأدبات شعاري الحياة احترم نفسك تحترمك الناس,0
الرجال اللي في دقيقة 3:50 ترآه صومالي اصلو وفصلو وهدا حسابه في انستغرام روحوا له ابن عمي..❤ @User.IDX ,0
شعب داعر اقسم بالله اوسخ شعب مسلم والشعب المغربي الدعارة والعهر يجي رحم,1
الي فهم العنوان غلط لايك ,0
 : انا هالفتره يا نايمه يا فيني نوم يا بنام ..,0
مايا تقل مخنث قالت يعتبر للمنظومة المتشددة تذكر رأيها الشخصي أسلوبها قاسيا أوافقها كريم حقه إبداء رأيه الحديث بخصوص الدين كغيره اللائق نقصي المرء حرية إبداء رأيه بحجة عالم دين حقنا نفكر نقدم وجهة نظرنا بدون ألفاظ نابية شتائم عكس قاله كريم منشوره شبهها بالعنزة خطأ كبير معجبيه العمي يقلدونه يشتمون السيدة يتهمونها بالكفر الإلحاد يعرفون معانيها حال المجتمعات السخيفة تقر بالتسلية,0
 سيد نصرلله غصبن عنك وعن كل يلي بشد عا مشدك,1
سمعتوا منيح سماحة السيد شو قال عن فخامة الرئيس وعن الوزير جبران باسيل بعتقد لا كلام بعد كلام السيد,0
والله عيب مايا كريم رجل وسيد الرجل اوكي الولي روحي عرف الدينا وحكي بيان اوكي,0
الرجل خارجي وحاشا السلفية فضح ذكر لادن والظواهري ليسو بسلفيين خوارج الصوره وضحت العقلاء والحمد لله نعمة السنة,0
وئام وهاب كلب جعاري تعريف الكلب الجعاري كلب مشتية علي الدني بعوي وما بعض بتشبقو صرماية ع خلقتو بسير ينوي متل البسين,1
يفضح عرضك شو جحش لك روح شبّع الشعب الجوعان وابني التعليم على شان الشعب الجهلان واستصلح الزراعة على شان الاقتصاد الخربان ياخربان يا ابن الخربانة ,1
   57  بري وجبران قعدو سنه يتخانقو على النفط . كل… ://./89,0
ولد عواطف يستفزوه والرد متاعو بتربية واخلاق رغم يقعد متربي,0
@User.IDX @User.IDX اسرائيل موجوده عشان تقرف الكره الارضيه حياتها ماتركوا دوله في حالها الا ولهم يد في خرابها ,1
ببساطة حيوان الكلام قاعد اولاده معناها متربي جاي ينتقد الأوضاع التونسية,1
اللى القانون لكنتهم قريبة الفرنسية جدااا اتباع الاستعمار تستكملون مخططاتهم فرنسا قننت الدعارة فلماذا الوفاء لارث الاستعمار يتم الغاء الدعارة تتجهون الهااوية واكثر واكثر ميراث ومثلية جنسية وبلاوى زرقا,0
تحبو طيحو عبديزيك فلسفة مزمزال مايا تحبي تمتلك بلاتو فاشلة شاب بشير اختك جزائر تشجع وأخطاء مستمع لفارغة,0
بفهمك يمكن صعبة عليك تشوف إنسان ناجح و نظيف متل جبران باسيل,0
صرمايه عثمان براسك وبراس يلي خلفوك وانت من يجب ان تكون في السجن يا منافق يا وضيع ولن نسكت عنك قبل ان تك…,1
@User.IDX الله اكبر منكم ومن قوتكم أن شاء الله الى زوال #عملية_سلفيت ,1
@User.IDX الله يحفظها هالمرأة الشريفة ويحفظ شعب نيوزيلندا ويحفظ حكومتهم ,0
للاسف يا عزيزي نزار زكا لايملك المال وإلا كان تحرك جبران باسيل كما فعل بخصوص كارلوس غصن,0
 كتر خيرك والله فتحتي قلبك للعالم اللي حمو لبنان سمحتيلن يرجعو على هالبلد ههههههههههه شكري الله اللي تاركينك بهالبلد,0
اول واحد بلبنان بتكون انت تريد حكيم نفساني يا معتوه ارحل وروح لا معلمك على سوريا…,1
ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال…,0
سوريا .في عنا جحش صار رئيس ,1
ديرو توعية الرجل يحترم حق المراة طبيعتو واخلاقو وايمانو اجباري قانونيا كتخالفو توعية اعطاء دي حق حق شرا واعترافا الكتاب والسنة حلل الشرع اماتحليل ماحرم عواقبها كارثة الامة الاسلامية اراك دالك خيرا ويعلم لاتعلمون فلاتغيرو شعائر فانها فسوق وفساد مجتمع اكمله تمعنو خشوع وتامل لمدا اراد دالك والله سبب فتن والعداوة مايد ورافض اتقو وحترمو شعائره لاتفتنو كتاب والسنة واننا احسنو امة ضاع تربيتنا وفهمنا غلط شريعتنا جاء وقت تحطيم حق اعطاه لرجل فتن تجعل رجال قليلو زماننا اصبحو شدود ضغط كرامة الرجل سبب وصول زمان رجال قليلو لاتفترو وتندمو رقيب اتقو كفن مالو جيب ولقبر رصيد,0
اه يا اتي يا اتي يا زين <>اه يا اتي يا ضي العينين<>جده تغنت واطربت يا فرحها <>شعارك البراق زاد بحسنها<>اتحاد العب واحنا لك سند <>💛💛💛💛💛💛💛<>#الاتحاد_النصر .,0
هيدا اسلوبهم بالحوار متل معلمهم معودين عحوار الصرامي,0
صرم امك بريك البريك احشاها ترم,1
من اعطاك مفتاح بيروت حتى تمنع من تريد ،وتستقبل من تريد بيروت عاصمة مشرعة الابواب,0
والله برافو كذبة ناجحة اا نسيت فلوس القناة تدبرو وحاجة أخرى مفمى ديتكتور مونسونج أكلها أسئلة وأمين صادقة كاذبة مازالت حاجة مفيهاش كذب فيهالبلاد,0
 بشكر الله إلي جيلي ما كان واعي ع هيك فخامة.,0
 جسمك لبّيس وما بيتكذّب شي عنّك ، ممكن تعملي أكتر من الشائعات.,1
هذا من ذوقك يا مهذب يا كتكوت يا مريض نفسي والله يرضى عليك شيل صورة ولي العهد لأنك مش سعودي ولا تشرف حتى تكون عربي ولا مسلم .#غبي 🐁 ,1
أمي <>أحبك يا حبة الرمان يا السما الزرقاء الصافية يا أجمل ما في الوجود يا من حضنها أمن وأمان واطمئنان لا حرمني الله منك أبدا يا سبب سعادتي وعافيتي وبهجتي لولاك ما كان لحياتي معنى أحبك وأتمنى رضاك عني,0
=- يا تسامح وتنسى يا تعاتب وتصفى يا تغور وتخفي.👌💛,0
وكأنك تطلب حماية وليد بك يا جاهل حنجيبك,1
" جيتي تتكحليها قمتي عميتيها.
ايش بها هالرسالة كا ديما؟؟ ايش بدك ياه يطلب من تيارو نزال عربد وعمول مشاكل م… ://./",1
 اولاً الاحترام واجب السيد حسن غصبن عن رأسك مش حسن لانك إعلامية بدون احترام,1
العمى شو مثقفة في منك عبصل,1
يا ليلي يا ليلا ليه النفس بقت شايلة 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
 خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ خخخخخخخ أنت هتنيك نفسك ، شوف جماهيركم عملت إيه بعد خروجكم من أرولاندو حسام غالي يا فتاكة يا ابن المرة المتناكة أحاااا<>ابقي شوف جماهير الزمالك في فاينال أفريقيا قدام صنداونز <>الك,1
عجبني رأي البنت قالت المساواة الرجل والمرأة مصاريف البيت والرجل يطلب المرأه تساعده وتشاركه المصاريف نطالب بالمساواة الميراث الرجل يتحمل مسؤولية مصاريف البيت كامله لايحق المطالبة بالمساواة بالميراث والحق أمر الرجل بتحمل مصاريف البيت كاملة وأعطى الميراث الدبل الأنثى,0
خليك على موقفك يا بوق لحد ما تنرمى بالزبالة,1
يا أبن ميتين الكلب يا كوفي انت و إبراهيم صلاح ، يا شوية علوق ,1
 خلص يا هبلة ولك خلص شرشحتي حالك خلص ورصاص شو بتحبي تتبهدلي,1
لاحول ولاقوة إلا بالله حسبي الله ونعم الوكيل فيك ياحوثي وعفاش الله ينتقم منكم ,1
 بس يا أشكال يا وسخه ... الحقد ملك عقلكم وقلوبكم,1
كلبة تاصوارد شوهت صورة النساء خامجة تشرب تسهر الرجال وجاسوسة وتبتز مافيا الدرجة الأولى,1
خليك عم تعوي وحدك وما حدا قاريك و ما حدا معبرك خليك عم تعوي وحدك,1
تشبه لل لطف مفهمتش مشروبات غازية وتخمم لاكس متاعها تخاف راجلها وهذاكا راجل هوا,0
يامايا بركاك تبرج ربي يهديك بشير ربي يهديه يعتزل الغناء,0
اخ العرب قلتها تمام كفر الأعمال الكفرية الكفر تقول الغرب وضع القوانين غرب مالنا مالهم,0
اللي بالهاشتاق يا تقول خير يا تاكل تبن وتنقلع مانبي غجر #خالد_نقا_العازمي,1
هو انتم مبتجبوش غير النماذج الوسخة عن مصر بس ؟ مش كدا يا AJ+ 😂 ,1
كل مرة كنت قول انك حلوة والناس بغروا منك بس طلعت غلطان مظبوط حلوة بس درجة الهبل عم تعلى وتعلى وتتعمر يا دار,1
@User.IDX الشواذ صار لهم شان وبيسيطرون من فرنسا ,1
ليش حتى اليوم قامت القيامة على شيخ العقل وعلى المجلس المذهبي اللي إلو من سنة وعم بيصي…,0
أحسنت رد رائع جميل أريدك دائما هكذا,0
يوم ولد ماكرون كان ميشيل عون عقيد ركن و بوتفليقة وزير خارجية و السلطان قابوس كان السلطان قابوس,0
كول هوا انت كمان و لا قوي تحكي عليي,1
مانعرفهمش زوج بصح شعرو طويل متربي ارجل لابس تريكو فلفل يبان وقح,0
قحبة يالي بجنب المذيعة زك تحشيو بهايم برا نيك امك الدباغ قالو مايجيش العنف نمي حل فمك خلي الدباغ تبزعلك ارضي سكر عصبة الجماعة المتثقفة العنف فن يعطك عصبة عباد قحاب قانون زبي,1
البيوت الحمرا بل المرجة ، والجامع اشرف وأطهر منك,0
  ههههههههههههههههههه يا وقح يا اندل احذفها و رتوت له,1
 انشالله ما بتلاقي بلاطة لقبرك يا دبة,1
 حسبنا الله ونعم الوكيل فيكم يا سعودية و يا امارات و ياحفتر و يا سيسي اللهم إنا نجعلك في نحورهم ونعوذ بك من شرورهم اللهم اكفناهم بما شئت وكيفما شئت,1
 ربنا معانا كلنا <>ويهديكي ويصلح حالك يا سوما يا بنت ام سوما ⁦😂,0
أولا نحكي مهاجرين عرب هدو مغاربة كلمة ليبيا وايضا نهدرو مهاجرين مسلمين مالي ونيجر خويا منقبلوش يجي مغربي لعدنا حراق يخدم ويتعرض لأي إهانة كامل خوتنا فيديو هدو كونغو وإفريقيا الوسطي تقدر دولة ترجعهم لدولهم بساطة,0
" قلتلك 100مرة المطبخ احسن لك...الولد الشقي بجيب مسبات للعبة
#السيد_نصر_الله_ثقتنا",1
لا انت ولا معلمك فيك تدق بصرمايته يا صرماية عتيقة,1
مشيت عاونت الناس الزواولة ةو العايلات معندهمش خيرلك,0
مصر تفعيل القانون تحيه حب واحترام للشعب التونسي,0
 اقصى ماعندك تنبحين في تويتر يا الضبعه يا ذنب اليهود والترك والفرس <>اهم شي خليك على هذا الوزنيه,1
مرض نفساني يصيب التوانسا يعرفنيش يسبني بلغة فاهمها انقرضو,0
يا وائل كلام جبران باسيل خاطىء وغير مقبول هو وزير في حكومة بيانها يقول ان إسرائيل هي عدو وليس من واجب…,0
أعطيني اية تقول صوت المراة عورة جهال دراوش,0
سأضيف الفيديو ملفي للهجرة ألمانيا ليعلم القنصل مدى معاناتي الشعب,0
مستهبل ومن لف لفيفها بصوت واحد الحق على جبران باسيل,1
مافي غير جبران باسيل الي عم يلعب ب النار تحت مرأى و مسمع رئيس الحكومة,0
" انت قدن كلن واشرف واصدق منهم.
ديما كلنا منحبك .",0
 : ااااااااااااااه<>يا سلااااام<>والله ما فهمت موضوع اعمل الصح دي غير لما شفت الاعلان<>يا سلام يا ولاد<>بقى اعمل الصح<>يعني تعمل علامة…,0
@User.IDX بريطانيا قبل اسابيع اقفلت مطار هثرو لوجود طائره درون ولم تتحدثوا عنها !!! والله لو تم اطلاق كم طائره على خنزيرتكم ومرتزقتكم لما عرفتم من اين جاءت !!! ,1
احنا كعرب نتحكم في بعض.. بدل ما نعرف أمريكا ونفهم بنت اللبوة دي ناويه علي ايييييه ,1
 ااااااااااااااااااااااااااااارضع كوسك يا شيماء كوسك يا شيماء كوسك يا شيماء كوسك يا شيماء كوسك يا شيماء كوسك يا شيماء اااااااااااااااااالحس بخش طيظك,1
